complex_id,input_pdb,contig,binder_out_chains,Lb,Lt
1A22_A_B,/scratch/users/cbertsch/expC/inputs/1A22_A_B_input.pdb,192-192/0 B1-180,A,192,180
1AK4_A_D,/scratch/users/cbertsch/expC/inputs/1AK4_A_D_input.pdb,145-145/0 B1-165,A,145,165
1BP3_A_B,/scratch/users/cbertsch/expC/inputs/1BP3_A_B_input.pdb,186-186/0 B1-197,A,186,197
1BRS_A_D,/scratch/users/cbertsch/expC/inputs/1BRS_A_D_input.pdb,87-87/0 B1-108,A,87,108
1C1Y_A_B,/scratch/users/cbertsch/expC/inputs/1C1Y_A_B_input.pdb,77-77/0 B1-167,A,77,167
1CBW_FGH_I,/scratch/users/cbertsch/expC/inputs/1CBW_FGH_I_input.pdb,11-11/0 131-131/0 97-97/0 D1-58,ABC,239,58
1CHO_EFG_I,/scratch/users/cbertsch/expC/inputs/1CHO_EFG_I_input.pdb,10-10/0 131-131/0 97-97/0 D1-53,ABC,238,53
1E50_A_B,/scratch/users/cbertsch/expC/inputs/1E50_A_B_input.pdb,115-115/0 B1-130,A,115,130
1EMV_A_B,/scratch/users/cbertsch/expC/inputs/1EMV_A_B_input.pdb,83-83/0 B1-131,A,83,131
1FC2_C_D,/scratch/users/cbertsch/expC/inputs/1FC2_C_D_input.pdb,43-43/0 B1-206,A,43,206
1FCC_A_C,/scratch/users/cbertsch/expC/inputs/1FCC_A_C_input.pdb,56-56/0 B1-206,A,56,206
1FFW_A_B,/scratch/users/cbertsch/expC/inputs/1FFW_A_B_input.pdb,68-68/0 B1-128,A,68,128
1GCQ_AB_C,/scratch/users/cbertsch/expC/inputs/1GCQ_AB_C_input.pdb,56-56/0 57-57/0 C1-69,AB,113,69
1GUA_A_B,/scratch/users/cbertsch/expC/inputs/1GUA_A_B_input.pdb,167-167/0 B1-76,A,167,76
1H9D_A_B,/scratch/users/cbertsch/expC/inputs/1H9D_A_B_input.pdb,125-125/0 B1-125,A,125,125
1IAR_A_B,/scratch/users/cbertsch/expC/inputs/1IAR_A_B_input.pdb,129-129/0 B1-188,A,129,188
1K8R_A_B,/scratch/users/cbertsch/expC/inputs/1K8R_A_B_input.pdb,166-166/0 B1-82,A,166,82
1KTZ_A_B,/scratch/users/cbertsch/expC/inputs/1KTZ_A_B_input.pdb,82-82/0 B1-106,A,82,106
1LFD_A_B,/scratch/users/cbertsch/expC/inputs/1LFD_A_B_input.pdb,87-87/0 B1-167,A,87,167
1PPF_E_I,/scratch/users/cbertsch/expC/inputs/1PPF_E_I_input.pdb,218-218/0 B1-56,A,218,56
1R0R_E_I,/scratch/users/cbertsch/expC/inputs/1R0R_E_I_input.pdb,274-274/0 B1-51,A,274,51
1REW_AB_C,/scratch/users/cbertsch/expC/inputs/1REW_AB_C_input.pdb,103-103/0 103-103/0 C1-86,AB,206,86
1S1Q_A_B,/scratch/users/cbertsch/expC/inputs/1S1Q_A_B_input.pdb,141-141/0 B1-72,A,141,72
1SMF_E_I,/scratch/users/cbertsch/expC/inputs/1SMF_E_I_input.pdb,223-223/0 B1-9,A,223,9
1TM1_E_I,/scratch/users/cbertsch/expC/inputs/1TM1_E_I_input.pdb,281-281/0 B1-64,A,281,64
1UUZ_A_D,/scratch/users/cbertsch/expC/inputs/1UUZ_A_D_input.pdb,129-129/0 B1-129,A,129,129
