quantity,raw_auroc,within_mut_sauroc,wm_lo,wm_hi,wm_verdict,within_wtmut_sauroc,within_mut_burial_sauroc,wmb_lo,wmb_hi,dauroc_fitted,dfit_lo,dfit_hi,dfit_p,n,n_destab,n_complex,base_auroc_fitted,seed,n_boot,note,command
logP,0.5781,0.5931,0.5285,0.6597,ADDS,0.6062,0.6027,0.5373,0.6736,0.0075,-0.012,0.026,0.7815,420,227,27.0,0.6604,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
logodds,0.5232,0.5114,0.4543,0.5759,chance,0.5655,0.5542,0.4924,0.6272,0.0034,-0.0141,0.0192,0.6575,420,227,27.0,0.6604,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
rank_mut,0.55,0.5559,0.5013,0.6116,ADDS,0.5382,0.5913,0.529,0.6584,0.0013,-0.0077,0.009,0.6235,420,227,27.0,0.6604,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
logP_minus_wt,0.5633,0.6108,0.5435,0.6778,ADDS,0.5932,0.6112,0.5402,0.6848,0.0072,-0.0169,0.0267,0.7665,420,227,27.0,0.6604,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
negH,0.5059,0.5248,0.4569,0.5976,chance,0.5452,0.4597,0.38,0.535,-0.0063,-0.0123,-0.0015,0.0045,420,227,27.0,0.6604,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
dH,0.5371,0.5431,0.4813,0.6064,chance,0.5264,0.4915,0.424,0.559,-0.0044,-0.0096,-0.0004,0.0155,420,227,27.0,0.6604,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
logQ,0.54,0.5444,0.4809,0.6073,chance,0.5496,0.5324,0.465,0.6021,0.0011,-0.0093,0.0109,0.602,420,227,27.0,0.6604,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
burial,0.6908,0.7301,0.654,0.8018,ADDS,0.7608,0.5966,0.5293,0.6551,0.0002,-0.0002,0.0007,0.801,420,227,27.0,0.6604,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
drsasa,0.5852,0.5963,0.5328,0.6718,ADDS,0.629,0.5736,0.5116,0.6473,0.0001,-0.0003,0.0005,0.668,420,227,27.0,0.6604,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
POSCONTROL_delta=0.0,,0.489,,,,,,,,-0.0016,,,,420,227,,,20260803,2000,audit of abbind_bigidea1.csv: within-mutant-identity stratified AUROC replaces dAUROC over a baseline that already encodes substitution identity; adds entropy and identity-normalised (rank) forms of the same distribution,python3 src/abbind_readout_audit.py
