fixture,quantity,raw_auroc,within_geom_sauroc,wg_lo,wg_hi,wg_verdict,within_geom_sauroc_fitstrata,wgf_lo,wgf_hi,dauroc_FITTED,dfit_lo,dfit_hi,dfit_p,dauroc_unweighted_zsum,duw_lo,duw_hi,n_pos,n_groups,n_hot,geom_auroc_fitted,seed,n_boot,note,command
SKEMPI_crystal,kl,0.6942,0.5815,0.5432,0.6218,ADDS,0.5921,0.5538,0.6301,0.0017,-0.0042,0.0079,0.707,0.0074,-0.0039,0.019,5742,141,325,0.7258,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
SKEMPI_crystal,jsd,0.6925,0.5769,0.5357,0.6166,ADDS,0.5877,0.5494,0.6276,0.0008,-0.0057,0.0074,0.5925,0.0071,-0.0042,0.0189,5742,141,325,0.7258,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
SKEMPI_crystal,dH,0.6098,0.5399,0.4984,0.579,chance,0.5416,0.4993,0.5805,-0.0017,-0.007,0.0035,0.272,-0.0033,-0.0169,0.0103,5742,141,325,0.7258,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
SKEMPI_crystal,negH,0.5337,0.457,0.4061,0.5057,chance,0.4617,0.4217,0.5033,0.0062,-0.0025,0.015,0.918,-0.0345,-0.0489,-0.0212,5742,141,325,0.7258,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
SKEMPI_crystal,conf,0.5377,0.4854,0.4444,0.5273,chance,0.4887,0.4531,0.5268,0.0004,-0.0017,0.0026,0.6455,-0.0231,-0.0408,-0.0059,5742,141,325,0.7258,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
SKEMPI_crystal,dsasa,0.6727,0.5718,0.5333,0.6106,ADDS,0.5549,0.5133,0.599,-0.0,-0.0,0.0,0.323,-0.0011,-0.0131,0.0103,5742,141,325,0.7258,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
SKEMPI_crystal,POSCONTROL_delta=0.0,,0.4998,,,,,,,-0.0005,,,,-0.0216,,,5742,141,325,,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
SKEMPI_crystal,POSCONTROL_delta=0.15,,0.5423,,,,,,,0.0023,,,,-0.0052,,,5742,141,325,,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
SKEMPI_crystal,POSCONTROL_delta=0.3,,0.5853,,,,,,,0.0137,,,,0.0111,,,5742,141,325,,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
SKEMPI_crystal,POSCONTROL_delta=0.5,,0.6311,,,,,,,0.0322,,,,0.0302,,,5742,141,325,,20260803,2000,audit of kl_geometry_control.csv: FITTED cross-validated nested logistic dAUROC and within-geometry-stratum AUROC replace the unfitted equal-weight z-sum dAUROC; POSCONTROL rows calibrate the committed readout's detection floor,python3 src/kl_readout_audit.py
