complex_id,pdb,binder_chains,target_chains,L,L_binder,L_target,n_labelled_binder,n_labelled_target_spanning
1A22_A_B,1A22,B,A,372,192,180,16,14
1AK4_A_D,1AK4,D,A,310,145,165,3,2
1BP3_A_B,1BP3,A,B,383,186,197,12,1
1BRS_A_D,1BRS,D,A,195,87,108,7,5
1C1Y_A_B,1C1Y,B,A,244,77,167,6,3
1CBW_FGH_I,1CBW,FGH,I,297,239,58,2,1
1CHO_EFG_I,1CHO,EFG,I,291,238,53,3,3
1E50_A_B,1E50,A,B,245,115,130,9,5
1EMV_A_B,1EMV,A,B,214,83,131,9,8
1FC2_C_D,1FC2,C,D,249,43,206,4,1
1FCC_A_C,1FCC,C,A,262,56,206,3,0
1FFW_A_B,1FFW,B,A,196,68,128,2,0
1GCQ_AB_C,1GCQ,AB,C,182,113,69,1,1
1GUA_A_B,1GUA,A,B,243,167,76,4,4
1H9D_A_B,1H9D,B,A,250,125,125,4,2
1IAR_A_B,1IAR,A,B,317,129,188,6,1
1K8R_A_B,1K8R,A,B,248,166,82,6,5
1KTZ_A_B,1KTZ,A,B,188,82,106,2,2
1LFD_A_B,1LFD,A,B,254,87,167,5,5
1PPF_E_I,1PPF,E,I,274,218,56,1,1
1R0R_E_I,1R0R,E,I,325,274,51,2,2
1REW_AB_C,1REW,AB,C,292,206,86,1,1
1S1Q_A_B,1S1Q,A,B,213,141,72,2,1
1SMF_E_I,1SMF,E,I,232,223,9,3,3
1TM1_E_I,1TM1,E,I,345,281,64,5,5
1UUZ_A_D,1UUZ,A,D,258,129,129,2,0
1VFB_AB_C,1VFB,C,AB,352,129,223,8,7
2A9K_A_B,2A9K,B,A,377,207,170,2,0
2AW2_A_B,2AW2,A,B,210,110,100,3,3
2FTL_E_I,2FTL,E,I,279,222,57,4,4
2GOX_A_B,2GOX,B,A,362,65,297,3,1
2J0T_A_D,2J0T,D,A,285,124,161,4,3
2WPT_A_B,2WPT,A,B,195,82,113,13,5
3BK3_A_C,3BK3,C,A,171,67,104,2,1
3BT1_A_U,3BT1,U,A,398,273,125,12,3
3EQS_A_B,3EQS,A,B,95,84,11,2,2
3EQY_A_C,3EQY,A,C,96,84,12,1,1
3KUD_A_B,3KUD,B,A,241,76,165,2,0
3LB6_A_C,3LB6,A,C,361,109,252,3,1
3MZG_A_B,3MZG,B,A,392,206,186,4,2
3Q8D_A_E,3Q8D,A,E,234,231,3,2,0
3S9D_A_B,3S9D,A,B,307,127,180,6,5
3SE4_B_C,3SE4,B,C,333,143,190,7,7
3SF4_A_D,3SF4,A,D,400,355,45,2,1
3SGB_E_I,3SGB,E,I,235,185,50,2,2
4BFI_A_B,4BFI,B,A,394,202,192,5,2
4CPA_A_I,4CPA,A,I,345,308,37,2,1
4G0N_A_B,4G0N,A,B,242,164,78,5,2
4HFK_A_BD,4HFK,BD,A,355,195,160,8,0
4HRN_A_D,4HRN,D,A,191,70,121,5,2
4J2L_A_CD,4J2L,A,CD,171,121,50,2,1
4RS1_A_B,4RS1,B,A,372,267,105,4,3
5K39_A_B,5K39,A,B,320,167,153,1,1
5M2O_A_B,5M2O,B,A,211,74,137,6,4
5TAR_A_B,5TAR,B,A,332,148,184,2,0
