quantity,x,driver,spearman,lo,hi,n,sig,seed,note,command
AF2 deficit,d_af2,af2_iptm,0.1069,-0.0726,0.2795,127,ns,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
AF2 deficit,d_af2,af2_ptm,0.0662,-0.1172,0.2432,127,ns,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
AF2 deficit,d_af2,af2_interface_plddt,0.2272,0.045,0.3967,127,CI>0,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
AF2 deficit,d_af2,af2_ca_rmsd_iface,-0.2054,-0.3732,-0.0239,127,CI<0,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
OF3 deficit,d_of3,of3_iptm,-0.0268,-0.2095,0.1522,127,ns,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
OF3 deficit,d_of3,of3_ptm,-0.1059,-0.2876,0.0745,127,ns,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
OF3 deficit,d_of3,of3_interface_plddt,0.0453,-0.1464,0.2406,127,ns,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
OF3 deficit,d_of3,of3_ca_rmsd_iface,-0.061,-0.2361,0.1235,127,ns,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
AF2 leverage-retention (ref),retention_af2,af2_ca_rmsd_iface,-0.6379,-0.744,-0.4988,127,CI<0,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
OF3 leverage-retention (ref),leverage_metric,of3_ca_rmsd_iface,-0.5596,-0.684,-0.4091,127,CI<0,20260803,leverage loss is cleanly RMSD-driven; the confidence deficit is not cleanly driven by RMSD or by prediction quality -> the two readouts fail for different reasons (dissociation),python3 src/deficit_drivers.py
