fixture,tol,quantity,matched_pair_auroc,lo,hi,mean_delta,wilcoxon_p,verdict,n_pairs,n_complexes,resid_dbur,resid_dnbr,resid_ddsasa,seed,n_boot,note,command
SKEMPI_crystal,bur0.15SD_nbr1_dsasa0.15SD,kl,0.5714,0.4318,0.7027,0.12336,0.13790128149275915,null (nothing beyond geometry),42,34,0.01,0.667,0.0107,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.15SD_nbr1_dsasa0.15SD,jsd,0.5952,0.4375,0.7392,0.02334,0.1412946104915136,null (nothing beyond geometry),42,34,0.01,0.667,0.0107,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.15SD_nbr1_dsasa0.15SD,dH,0.5952,0.45,0.7317,0.04091,0.4131330389013783,null (nothing beyond geometry),42,34,0.01,0.667,0.0107,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.15SD_nbr1_dsasa0.15SD,negH,0.5,0.3409,0.6744,-0.12359,0.5275240065225262,null (nothing beyond geometry),42,34,0.01,0.667,0.0107,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.15SD_nbr1_dsasa0.15SD,conf,0.4762,0.3333,0.619,-0.34739,0.30862450609993175,null (nothing beyond geometry),42,34,0.01,0.667,0.0107,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.15SD_nbr1_dsasa0.15SD,dsasa,0.5,0.3333,0.6579,0.00026,0.960534398049731,null (nothing beyond geometry),42,34,0.01,0.667,0.0107,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.15SD_nbr1_dsasa0.15SD,burial,0.5714,0.4211,0.7105,0.0009,0.527556149540109,null (nothing beyond geometry),42,34,0.01,0.667,0.0107,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.3SD_nbr1_dsasa0.3SD,kl,0.5618,0.4756,0.6411,0.15393,0.04099194137296473,null (nothing beyond geometry),89,55,0.0186,0.663,0.0191,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.3SD_nbr1_dsasa0.3SD,jsd,0.5618,0.4756,0.65,0.02819,0.03637529288343547,null (nothing beyond geometry),89,55,0.0186,0.663,0.0191,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.3SD_nbr1_dsasa0.3SD,dH,0.573,0.4884,0.662,0.07366,0.20250596023917578,null (nothing beyond geometry),89,55,0.0186,0.663,0.0191,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.3SD_nbr1_dsasa0.3SD,negH,0.5281,0.4079,0.6487,-0.12108,0.4577399062235734,null (nothing beyond geometry),89,55,0.0186,0.663,0.0191,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.3SD_nbr1_dsasa0.3SD,conf,0.5056,0.4048,0.6092,-0.19077,0.5709540122099583,null (nothing beyond geometry),89,55,0.0186,0.663,0.0191,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.3SD_nbr1_dsasa0.3SD,dsasa,0.4831,0.3933,0.579,-0.00105,0.6779454278345761,null (nothing beyond geometry),89,55,0.0186,0.663,0.0191,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.3SD_nbr1_dsasa0.3SD,burial,0.5393,0.4345,0.6359,0.00251,0.29976594527495926,null (nothing beyond geometry),89,55,0.0186,0.663,0.0191,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.5SD_nbr2_dsasa0.5SD,kl,0.6183,0.5541,0.6791,0.17318,0.0007789989742863272,ADDS beyond matched geometry,186,91,0.0295,0.962,0.0294,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
SKEMPI_crystal,bur0.5SD_nbr2_dsasa0.5SD,jsd,0.6129,0.5525,0.6774,0.02984,0.0008935295411249818,ADDS beyond matched geometry,186,91,0.0295,0.962,0.0294,20260803,2000,decisive combiner-free test of the KL demotion: within-complex optimal 1:1 matched pairs on burial+nbr+ΔSASA (the project's pre-registered Phase-0 protocol extended with ΔSASA); matched-pair AUROC = P(KL_hot > KL_null),python3 src/kl_readout_audit3.py
