strata,quantity,sauroc,lo,hi,leakage_sauroc,minus_leakage,ml_lo,ml_hi,p_gt_leak,verdict,n_cells,n_informative,n,n_destab,n_complex,seed,n_boot,note,command
mut_x_2geobins,logP,0.595,0.5261,0.6721,0.6068,-0.0118,-0.1059,0.1072,0.4135,not beyond leakage,36,22,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_2geobins,logP_minus_wt,0.6121,0.5402,0.6853,0.6068,0.0054,-0.0979,0.1141,0.5425,not beyond leakage,36,22,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_2geobins,rank_mut,0.5674,0.507,0.6374,0.6068,-0.0393,-0.1446,0.0699,0.252,not beyond leakage,36,22,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_2geobins,logodds,0.5206,0.4673,0.5819,0.6068,-0.0862,-0.1742,0.0181,0.048,not beyond leakage,36,22,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_3geobins,logP,0.5898,0.519,0.6627,0.5854,0.0044,-0.0678,0.1052,0.5535,not beyond leakage,47,28,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_3geobins,logP_minus_wt,0.6037,0.5269,0.6702,0.5854,0.0183,-0.0911,0.1129,0.644,not beyond leakage,47,28,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_3geobins,rank_mut,0.5634,0.504,0.631,0.5854,-0.022,-0.0912,0.0746,0.316,not beyond leakage,47,28,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_3geobins,logodds,0.5115,0.4576,0.5774,0.5854,-0.0739,-0.1608,0.0264,0.0785,not beyond leakage,47,28,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_5geobins,logP,0.5724,0.4965,0.6447,0.6035,-0.031,-0.1273,0.0813,0.2795,not beyond leakage,69,29,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_5geobins,logP_minus_wt,0.5982,0.5196,0.6759,0.6035,-0.0053,-0.1255,0.121,0.512,not beyond leakage,69,29,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_5geobins,rank_mut,0.5444,0.4742,0.6155,0.6035,-0.0591,-0.1599,0.0571,0.1605,not beyond leakage,69,29,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_5geobins,logodds,0.5129,0.4543,0.5805,0.6035,-0.0906,-0.1713,0.0121,0.036,not beyond leakage,69,29,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_8geobins,logP,0.5749,0.5004,0.6465,0.4894,0.0854,-0.019,0.2243,0.9445,not beyond leakage,88,31,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_8geobins,logP_minus_wt,0.5816,0.5009,0.6609,0.4894,0.0921,-0.0229,0.2509,0.936,not beyond leakage,88,31,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_8geobins,rank_mut,0.5291,0.4596,0.5988,0.4894,0.0396,-0.0813,0.1949,0.7595,not beyond leakage,88,31,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
mut_x_8geobins,logodds,0.4874,0.4208,0.5619,0.4894,-0.0021,-0.1096,0.1428,0.5175,not beyond leakage,88,31,420,227,27,20260803,2000,leakage-benchmarked within-(mutant identity x geometry) AUROC; the benchmark is the cross-fitted geometry score's own within-stratum AUROC,python3 src/abbind_readout_audit2.py
