metric,feature,value,lo,hi,p_gt0,seed,note,command
auroc_standalone,P_complex,0.6145,,,,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
auroc_standalone,Q_binder_alone,0.5387,,,,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
auroc_standalone,clash,0.4942,,,,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
auroc_standalone,clash_x_contact,0.5036,,,,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
auroc_standalone,dSASA,0.5846,,,,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
auroc_standalone,vol_sim,0.5389,,,,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
auroc_standalone,blosum,0.5891,,,,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
auroc_cv,geometry(clash+contact+dSASA+vol),0.5871,,,,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
auroc_cv,geometry+P,0.6123,,,,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
dAUROC_P_over_geometry,P_adds_beyond_occlusion,0.0252,0.0207,0.0298,1.0,20260803,P adds over a volume-clash/contact occlusion baseline => the model encodes per-sub binding beyond geometry; caveat: a richer all-atom clash model could narrow it,python3 src/bennett_occlusion_energetics.py
